"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"spCov_45_scale",3,2047.16775771239,0,1,0.948358817122344,-1020.58096411245,0.948358817122344
"spCov_57_scale",3,2052.99359015889,5.82583244649641,0.0543170978948302,0.0515120987090597,-1023.4938803357,0.999870915831404
"spCov_83_scale",3,2064.97181047748,17.8040527650901,0.000136112830174896,0.000129083802619839,-1029.482990495,0.999999999634024
"spCov_33_scale",3,2090.52099404343,43.3532363310396,3.85446711163241e-10,3.65541787062469e-10,-1042.25758227797,0.999999999999565
"spCov_107_scale",3,2103.99099256978,56.8232348573879,4.58132739434798e-13,4.34474222855404e-13,-1048.99258154115,1
"spCov_119_scale",3,2136.15466153539,88.9869038229931,4.75050034545493e-20,4.50517888835493e-20,-1065.07441602395,1
"spCov_133_scale",3,2156.62942894753,109.461671235141,1.70098350186495e-24,1.61314270177326e-24,-1075.31179973002,1
"spCov_13_scale",3,2214.8950117149,167.72725400251,3.78869426840798e-37,3.59304161482559e-37,-1104.44459111371,1
"spCov_3_scale",3,2389.72034219572,342.552584483331,4.12716088233558e-75,3.91402941244538e-75,-1191.85725635412,1
"Null",2,2502.84146291281,455.673705200415,1.1264505762494e-99,1.06827933603867e-99,-1249.41927479216,1
